作品名称：【栗老师】相见恨晚的大圆脸发型教程  超遮脸看起来能显瘦20斤  抛弃tony老师自己搞定吧
网址：https://www.bilibili.com/video/av26492782
更新时间：07-12
弹幕总量：989
preciseTime    ofTime          comment
21.95          1531348826.0    妈野
22.061         1531151672.0    为什么别人脸大还这么好看
22.421         1531188600.0    太可爱啦！！
22.469         1531157636.0    求BGM
22.528         1531191650.0    栗子太可爱了！！！
22.633         1531321125.0    好强啊
22.739         1531236299.0    我觉得up好像uzi，好可爱呀好可爱
23.01          1531187316.0    好可爱啊
24.006         1531281135.0    老师好老师好
24.204         1531150048.0    同款耳环
24.234         1531368356.0    这个大脸妹怎么这么好看
24.236         1531150548.0    终于回来啦
24.285         1531227768.0    前提是长的好看，
24.858         1531194390.0    好修饰
24.917         1531310227.0    可爱。
25.441         1531313342.0    非常真诚的up主啊
25.549         1531149179.0    天呢！栗太美了！
25.609         1531390921.0    5555555555555555
25.619         1531296635.0    桥..桥本环奈？！
25.699         1531364839.0    虽然脸大，但是眼也大，鼻梁高
25.785         1531266836.0    圆脸也漂亮啊
25.806         1531306211.0    大小眼？？
25.908         1531179618.0    好美啊
26.05          1531300237.0    同款脸
26.08          1531186974.0    瘦下来就长这样啦
26.383         1531315758.0    好看的
26.473         1531152702.0    可爱
26.496         1531276008.0    自欺欺人啊！自欺欺人啊！（滑稽）
26.706         1531280694.0    好可爱啊
27.0           1531296441.0    UZI？？？？
27.207         1531301818.0    女的还能用头发挡一下
27.231         1531203415.0    没头发的怎么办。。
27.331         1531375169.0    可爱
28.299         1531352484.0    想看侧颜（滑稽）
28.322         1531369974.0    可爱💘
28.839         1531323416.0    像赵薇
29.45          1531380975.0    太好看啦这样
29.681         1531196687.0    太可爱了
30.311         1531305345.0    蜜汁uzi
30.349         1531296570.0    同款脸型
30.42          1531153319.0    这首歌好像ken arai的失恋巧克力职人里的bgm。太像了吧
31.259         1531182427.0    好可爱哦
31.575         1531275709.0    up主可爱啊
31.867         1531269309.0    圆脸两鬓要加头发
32.742         1531148172.0    栗老师是真的可爱
32.821         1531147142.0    我最喜欢听栗老师讲话😂
32.861         1531310378.0    可爱
32.939         1531197196.0    眼睛也大，成比例
33.064         1531200206.0    亲测有效！
33.317         1531298781.0    同款脸型…
33.613         1531376285.0    脸边两撮毛 就知道是大脸猫了
34.143         1531258702.0    圆圆的也肥肠可爱哎！
34.415         1531277960.0    看嘴我就知道不一样
34.465         1531244499.0    可是我脸大发量又少
34.92          1531384375.0    我要戴眼镜，，怎么办
35.137         1531304783.0    御姐音嘤嘤嘤
35.171         1531298238.0    同款梳子
35.208         1531301249.0    眼睛大就够了啊
35.308         1531148361.0    栗老师好美
35.351         1531298132.0    这脸可以cos桔梗了
35.549         1531192077.0    女版王尼玛
35.756         1531195278.0    哇衣服同款
35.874         1531248336.0    啊*1
36.107         1531328954.0    那么请问，男孩纸怎么解
36.134         1531201093.0    同款脸型！！！圆脸尖下巴，是超级尖下巴，哈哈哈哈(ಡωಡ)hiahiahia
36.682         1531352662.0    小姐姐好白
37.072         1531227739.0    好羡慕小圆脸 呜呜呜……………
37.721         1531310484.0    同款衣服xxx
37.904         1531319748.0    眼睛大主要是
38.079         1531381178.0    虽然栗子脸大但是眼大鼻子好看啊TWT
40.259         1531193371.0    哈哈哈哈哈哈好可爱
40.267         1531191120.0    对
40.362         1531303742.0    哈哈哈 阔爱
40.665         1531199411.0    风吹一下咋整
40.723         1531185162.0    美女！
41.93          1531309587.0    其实我想问问脸大是骨骼造成的吗？
41.931         1531296512.0    其实圆脸挺可爱
42.447         1531308967.0    可爱
42.897         1531248371.0    啊*1
