作品名称：【栗老师】相见恨晚的大圆脸发型教程  超遮脸看起来能显瘦20斤  抛弃tony老师自己搞定吧
网址：https://www.bilibili.com/video/av26492782
更新时间：07-12
弹幕总量：989
preciseTime    ofTime          comment
217.973        1531249304.0    这币我投
218.099        1531200998.0    秃的等等我！我也！！！噫呜呜呜呜
218.243        1531325136.0    我是姬发
218.281        1531231239.0    哭了。。。我刚让Tony老师照着栗子的刘海剪残了
218.761        1531276043.0    不，是赵薇像阿婆主（｡ò ∀ ó｡）
219.13         1531324208.0    男生表示一脸懵逼
219.178        1531194991.0    秃了+1
219.477        1531185030.0    啊啊啊刮风 刮风怎么办啊
219.766        1531151424.0    的我该怎么办噢
220.9          1531200922.0    秃的等我……！
221.266        1531310488.0    厚刘海改一下刘海区域大小然后打薄
221.781        1531177213.0    前面的等等我 我也....
222.287        1531303924.0    没有头发+1……
222.447        1531310567.0    我也是秃了
223.328        1531192492.0    刮风也要up主教。。。你的小脑瓜是不是要动一动了
223.401        1531303687.0    突然发现up一个眼睛大，一个眼睛小
223.825        1531292718.0    我下巴还可以，就是脸太圆
223.949        1531150817.0    希望来一期修容的
224.763        1531239922.0    暂停给栗子妹妹投币去了
225.503        1531375034.0    发际线很好看啊！
225.797        1531276219.0    我这个位置似乎没头发。。
226.752        1531351231.0    厉害！！收藏
226.796        1531197887.0    真的好看很多啊，显年轻
227.7          1531263823.0    我也是！！
228.721        1531363652.0    我一个男的为什么看的津津有味
228.732        1531264010.0    我头发跟稻草一样 暴风哭泣
228.891        1531156262.0    秃了的等等我！！！
229.059        1531222446.0    这块是秃的哈哈哈哈
229.115        1531207252.0    定格在了奇怪的地方…
229.525        1531151448.0    脸宽脸大…头发少…哭
229.722        1531310999.0    很没有自知之明的试了，果然手残，想哭
229.816        1531381281.0    我不知道我一个大长脸在这看啥
230.495        1531306135.0    wuy
230.507        1531295683.0    太好看了吧
230.559        1531193357.0    同等刘海张长
230.857        1531153273.0    如果约会 在外面 有风
230.928        1531283039.0    秃了的我真的哈哈哈哈哈哈哈不知道说什 
231.434        1531292808.0    啊啊啊啊啊可爱暴击
231.56         1531190556.0    好可爱呀
232.019        1531159051.0    很秃
233.216        1531216501.0    太阳穴凹陷咋办
234.198        1531282229.0    好可爱啊，长得像个大娃娃
234.403        1531328382.0    已秃的M字额😭😭😭😭😭
234.837        1531284808.0    阿婆可爱死了哈哈哈哈哈哈哈哈哈哈哈哈
234.922        1531288097.0    好可爱
235.434        1531148724.0    真的好可爱
235.585        1531282253.0    突然仙女
235.961        1531273226.0    男的怎么弄？
236.168        1531269376.0    美颜暴击
236.397        1531304648.0    我差的是脸不是脸型和发型啊
236.699        1531231611.0    秃了＋1
239.2          1531300463.0    我的头发这样剪会外翻
239.438        1531306144.0    我也秃
241.268        1531305611.0    我一个男的看的这么起劲
241.317        1531362645.0    可是我有眼镜，再贴合都被撑开了……
241.579        1531311017.0    小姐姐真可爱
242.026        1531351252.0    技术流
242.738        1531177977.0    同款梳子？？
242.829        1531192819.0    太厉害了
242.92         1531375976.0    哇好美！
243.603        1531254391.0    你是真优秀
245.024        1531154115.0    已经好好看了呀
245.966        1531186999.0    哇
247.65         1531387782.0    666
247.893        1531336394.0    干货
248.099        1531218019.0    好萌
248.64         1531307785.0    up主的语气好像班主任啊哈哈哈哈哈哈
248.678        1531195205.0    风大能咋办暴露你脸大呗
249.563        1531309096.0    下颌差不多，但是有下巴
250.617        1531158708.0    短发呢。。
251.58         1531304174.0    鼻子真好看，
252.529        1531187006.0    厉害了栗子
252.995        1531243653.0    哇！真好看
253.006        1531287728.0    为什么这么厉害
253.983        1531317245.0    高度近视戴眼镜两边不好留头发，T﹏T
255.002        1531199488.0    同款剪刀
255.817        1531191050.0    肤白貌美阿阿阿阿～
256.94         1531184105.0    我就是姬发式，初二初三班主任都没管我高一那年班主任天天怼我然后我就把整个头发剪短了
258.485        1531258611.0    你头发发质好好
258.956        1531193886.0    技术流
260.161        1531147418.0    羡慕发质加一
260.554        1531326956.0    齐刘海有点绝望，这个发型只能等刘海长了再说
261.321        1531325203.0    我是姬发
261.75         1531153135.0    我要把这个视频给tony老师看！！！我的手有他自己的想法
262.011        1531197356.0    同款背景
262.149        1531250108.0    骚操作
262.442        1531245914.0    我没有班主任 我永远喜欢姬发
265.129        1531153708.0    我自己剪的就是姬发呜呜呜
265.897        1531304771.0    为什么我一个男孩要进来看这个
266.422        1531291510.0    好可爱啊哈哈哈
266.926        1531391532.0    哈哈哈哈哈哈或或或或
266.977        1531376905.0    就你分两绺长头发那地方，我这是秃的。。。
267.56         1531180203.0    姬发+1啊啊
269.516        1531150353.0    hhhhhhh
269.722        1531389818.0    我是男生为什么看这个
269.905        1531248039.0    真的是我本人!!因为剪的太僵硬被教导主任拿去问话
270.3          1531150312.0    真的是发型改变脸型
270.801        1531182247.0    加一
272.192        1531156415.0    我的剪刀有它自己想法
272.246        1531199514.0    姬发同僚们
272.433        1531246130.0    前段时间剪的姬发我班主任就说我不爱学习！！！！
272.49         1531300870.0    毕业了不怕了
273.067        1531220862.0    我的姬发就被班主任点名嘲讽了
273.266        1531197060.0    姬发+1不过是真的好看阿
273.267        1531271123.0    我们政治老师是啊，，hhhh
274.2          1531306070.0    可爱死了！！！！
274.72         1531279048.0    前面头发少的人怎么办
275.285        1531205335.0    别怕，我就是班主任本人
276.22         1531390982.0    真的是老师啊2333
276.969        1531152276.0    我说呢 说话语气和腔调咋那么像我老师
278.099        1531178975.0    看完之后，上次冲动直接把两边剪成了姬发，还是巨丑的那种
278.441        1531278446.0    哈啊啊啊啊啊
279.544        1531275719.0    这个长度在我们学校会被扣分扣死TAT
279.962        1531259946.0    姬发唯一不好的就是戴眼镜的话像个傻子别问我为什么
280.32         1531151889.0    我耳朵贴怎么办 哭哭 根本就没耳朵露出来
281.561        1531202005.0    鼻子好看(｡･ω･｡)ﾉ♡
282.093        1531183147.0    太好看啦
284.313        1531326143.0    我头发自然卷咋办?像爆炸头一样😂
286.146        1531310561.0    哈哈哈哈哈仿佛看到了我的发型
288.281        1531381998.0    到这一步我感觉就OK了
288.44         1531377571.0    好可爱，路转粉了我
289.325        1531155030.0    好可爱
289.377        1531188071.0    发质也忒好了吧
289.654        1531359194.0    头发不长不短编不起辫子散着又难看的我默默哭泣
290.409        1531247098.0    亲爱的同款脸型，但是问题来了，我前天刚剪的短发，绝望了
290.68         1531332580.0    我感觉UP主太棒了居然忍不住给了个双击
290.837        1531364228.0    羡慕发质
291.217        1531152887.0    好喜欢up主(｢･ω･)｢嘿
291.371        1531187380.0    短发咋整
291.86         1531230145.0    真好看!
291.9          1531231986.0    栗老师太可爱了吧
292.01         1531147783.0    头发好多 很羡慕了
292.14         1531199007.0    风一吹原形毕露，我就是这样的
292.15         1531229136.0    我的发量不允许我这样留头发。。。没鬓角。。。
292.94         1531325268.0    好怕刮大风
292.97         1531329095.0    戴眼镜的怎么办
293.015        1531198081.0    风一吹就垮了
293.107        1531266059.0    up主眼睛太好看了
293.5          1531326483.0    哇喜欢！！真的超可爱！！
293.662        1531266755.0    好棒
293.703        1531279067.0    头发真多
293.787        1531194682.0    哈哈哈我扇风耳
293.84         1531201701.0    臣妾做不到，撤了。夏天热死
295.38         1531320195.0    up主好可爱！
295.952        1531297842.0    那我这种班主任是比较可怕的
296.107        1531197995.0    好好看！
296.26         1531305828.0    超级厉害
296.58         1531211209.0    为什么这么像主持
297.004        1531200386.0    首先你要好看
297.087        1531299500.0    发际线低，但是想剪刘海啊，只能剪出厚刘海的感觉QwQ
297.135        1531352942.0    糟了，这是心动的感觉
298.155        1531336451.0    哈哈哈哈哈哈哈哈哈
298.174        1531188853.0    我短发呜呜呜
299.24         1531188034.0    好看
299.507        1531318481.0    哈哈 可爱
300.527        1531292795.0    头发放到后面更好看
301.121        1531307956.0    有点像党妹
301.5          1531335462.0    我就脸型和嘴巴和你一样，鼻子眼睛都不好看，额头还短，我没救了
302.202        1531236178.0    头发好多！！
302.448        1531318340.0    我这样夏天得热死.....
303.065        1531362739.0    耳型贴脸，全扎起来都看不见耳朵怎么办……
303.083        1531297115.0    糟了 是心动的感觉
303.341        1531197076.0    炸毛girl怎么办
304.161        1531335637.0    看发量我就放弃了
304.36         1531307848.0    羡慕头发多的
304.406        1531249957.0    太可爱了!!!!!!
304.78         1531153737.0    为什么我试了一下好像村姑
305.706        1531323168.0    羡慕发量
307.202        1531147051.0    栗子好好看啊
307.882        1531149339.0    牛 ！逼！啊！原谅我爆粗口
307.968        1531207182.0    可爱～
308.138        1531298988.0    超可爱！！
308.14         1531273620.0    发质好好哦
308.948        1531186023.0    短发怎么遮...
309.077        1531245935.0    哦，这是心动的感觉。
309.177        1531190789.0    脸长额头短的我  感觉没救了
309.439        1531329461.0    好看！！
309.476        1531298294.0    有股艺伎回忆录的感觉
309.771        1531374099.0    关注成功
309.845        1531308676.0    同炸毛
309.926        1531300459.0    短发肿么办😭
310.099        1531218444.0    炸毛还秃…绝望
310.166        1531376104.0    遭了 心动的感觉
310.281        1531179041.0    厉害关注了！但是还是因为up主好看啊！
310.528        1531239956.0    额头短怎么办呀 且颧骨高 
310.769        1531154189.0    试过了，配合化妆，美出新高度
310.883        1531300634.0    我也没有耳朵诶，正面根本看不到耳朵呜呜呜
310.954        1531299909.0    我怕风
311.061        1531230297.0    啊啊啊，圆脸找到救星了，昨天刚剪了一个空气刘海。
311.626        1531304679.0    热怎么办
312.186        1531248315.0    可爱
312.254        1531359221.0    糟糕，是心动的感觉。
312.95         1531280695.0    好看，嘤嘤嘤
313.533        1531309408.0    但是你眼睛比我大啊
313.612        1531153592.0    没头发少女哭了
313.665        1531375639.0    好看
313.672        1531264095.0    发量好多
313.745        1531278481.0    好可爱
313.853        1531260342.0    头发少怎么破
314.459        1531197734.0    好可爱啊
314.907        1531195482.0    太厉害了
314.931        1531286391.0    太可爱了!!!粉了!!!
315.24         1531300908.0    硬币投了
316.123        1531242200.0    表示手残，不敢动手
316.639        1531232188.0    生活在大风城市的我……
317.579        1531285054.0    眉毛!
317.952        1531201373.0    我脸长下巴短
318.169        1531260579.0    可爱(๑• . •๑)
318.245        1531309413.0    ಥ_ಥ
320.013        1531285851.0    头发好多，我只有一半那么多，哭
321.792        1531318359.0    果然还是不适合我们这边的天气..太热了
322.42         1531197747.0    发质超好
322.956        1531264049.0    好好看！！
323.085        1531388391.0    发质好好
323.78         1531306026.0    好像倪妮
324.153        1531299973.0    糟了，是心肌梗的感觉
325.19         1531306846.0    心动了怎么办
326.561        1531306035.0    好漂亮
326.594        1531260003.0    短发也可以剪姬发，而且特别可爱！！！！
326.633        1531187381.0    头发油怎么办。。。
327.279        1531300687.0    越看越好看…
327.639        1531159154.0    一拉就掉
330.462        1531300369.0    想跟老师做朋友！
331.946        1531310634.0    我的妈我经常这么干哈哈哈哈哈哈还被吐槽过拿手泥搓头发
332.78         1531363266.0    美颜暴击哇
332.939        1531235371.0    发际线是最蓝瘦
333.926        1531191686.0    我觉得我可能是脸的问题
334.841        1531317976.0    tonv
335.661        1531230182.0    夏天有头发掉下来感觉巨难受
337.241        1531318006.0    同款脸型，但我的眼睛只有up的一半大，哭唧唧
337.834        1531264119.0    用什么洗护产品哇
339.39         1531302370.0    有风怎么办
340.613        1531190339.0    发量稀疏的我哭了
341.484        1531392251.0    脸型一样。。。但是我没头发啊。。。
341.62         1531198224.0    可惜我的头发是自然卷，从不听话
342.718        1531195618.0    眉毛掉了
343.155        1531365298.0    怪不得日本女生都喜欢这种刘海，又可爱又显脸小
344.08         1531366791.0    戴眼镜加自然卷没救了
344.639        1531185484.0    同款
344.997        1531150947.0    五官不一样
345.117        1531307523.0    糟了是心肌梗塞的感觉
345.659        1531264459.0    同款。。。
346.471        1531248349.0    自然卷是不是就没救了
346.479        1531275574.0    同款夹子
347.257        1531380278.0    欧尔麦特
348.634        1531204302.0    同款！
349.043        1531246893.0    眉毛……
349.416        1531154765.0    明天就试试
350.207        1531197775.0    同款卷发棒
350.62         1531160761.0    同款夹子啊啊啊 但是表示不会用这个夹子
350.914        1531299695.0    哇⊙ω⊙好厉害
351.231        1531199479.0    羡慕发质
351.238        1531197558.0    学到了！！
351.663        1531180050.0    我头发不顺
351.665        1531158364.0    666！
352.726        1531149810.0    短发哭了
352.852        1531304631.0    握草学到了
352.853        1531307145.0    遭了 是心肌梗塞的感觉
353.1          1531228329.0    666666666
354.392        1531176308.0    同款夹板
354.486        1531282330.0    求卷发棒型号
354.804        1531298596.0    可爱
355.011        1531181415.0    被风一吹就凌乱的刘海。。对它不抱有希望了
355.023        1531150501.0    66666
355.305        1531205384.0    同款脸型，同样发量，但颜值。。emmmm
355.907        1531310267.0    同款帽子
356.693        1531364157.0    好可爱！
358.807        1531200808.0    哈哈哈哈哈哈哈哈哈
359.416        1531330948.0    hhh疯狂暗示
360.852        1531301295.0    短发没救了
361.236        1531150450.0    哈哈哈哈哈哈哈哈
361.796        1531149146.0    什么直板夹呀
362.196        1531310574.0    太好看惹quq
362.624        1531162963.0    哈哈哈哈哈哈哈哈哈哈哈划重点！
362.743        1531198784.0    说话真的像王尼玛hhh
362.8          1531298193.0    哈哈哈
362.913        1531198086.0    是的！赞了！
363.073        1531297291.0    好的明白，这就安排
363.178        1531307545.0    收到
363.264        1531193187.0    对的对的哈哈哈哈哈
363.321        1531189524.0    对对对就是有这种感觉😂
363.328        1531323881.0    哈哈哈哈哈哈哈哈
363.342        1531307250.0    同短发嘤嘤
363.44         1531300963.0    哈哈哈哈哈哈哈哈哈好可爱
363.542        1531153390.0    红红火火恍恍惚惚
363.858        1531184188.0    好的好的，现在就去
363.902        1531233800.0    牛逼了。。这个手法。明天我就要试一哈
364.077        1531201556.0    全程盯眼睛，👀太好看了
364.421        1531183982.0    好可爱
364.713        1531230225.0    硬币拿去
364.878        1531184421.0    哈哈 好可爱呀
365.459        1531297898.0    可爱
365.482        1531289106.0    这感觉没错！
365.669        1531296374.0    哈哈哈哈哈哈哈哈哈
365.92         1531306185.0    收藏收藏点赞点赞投币投币
365.93         1531328072.0    太可爱了啊
366.026        1531200583.0    哈哈哈哈哈
366.132        1531201247.0    羡慕有这么多头发
366.352        1531304313.0    哈哈哈，可以可以，你不光长的可爱，性格也可爱
366.959        1531295916.0    可爱死了可爱死了
366.961        1531247384.0    还是圆
367.145        1531374156.0    哈哈哈哈哈哈可爱
367.211        1531303972.0    哈哈哈太可爱了
367.382        1531306809.0    哈哈哈哈
367.403        1531205228.0    明示了
367.579        1531382213.0    hhhhh
368.08         1531148481.0    收藏了！
368.411        1531299116.0    投币了
368.557        1531198402.0    短发的等等我
368.748        1531242200.0    同款脸型，但是是个男生怎么办。。。
369.22         1531302823.0    哈哈
369.42         1531293101.0    哈哈哈可爱可爱
369.47         1531241786.0    是的是的
369.66         1531199431.0    好的老师
369.698        1531213153.0    和哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈或
370.308        1531278538.0    好的好的硬币给你
371.214        1531278030.0    哈哈哈哈哈哈哈哈哈
371.241        1531198388.0    好美
371.77         1531161298.0    明白明白
371.961        1531188083.0    好的，👌收藏
372.259        1531308224.0    好好可爱怎么办
372.497        1531198389.0    头发少的我方了
372.506        1531292867.0    右眉23333
374.293        1531177447.0    up太可爱了吧啊啊啊
374.4          1531303789.0    哈哈哈好的
374.852        1531185301.0    哈哈哈哈哈哈可爱死了 瞬间投币
375.041        1531147164.0    拜拜！
375.187        1531149877.0    太美了！
376.121        1531196160.0    明白
376.242        1531236263.0    可爱~~
376.303        1531151112.0    投币了投币了
376.579        1531310883.0    哇，美
376.859        1531279979.0    圆脸女孩已跪
376.981        1531376649.0    头发少怎么办...
377.123        1531305146.0    小姐姐贼漂酿
377.559        1531300536.0    我一个男的看完了
377.857        1531188167.0    美死啦
378.18         1531148852.0    太好看辣
378.418        1531379854.0    哈哈哈哈哈
379.276        1531147935.0    投币干嘛！愣着啊！
379.59         1531153844.0    关注了！
379.643        1531281988.0    好美
379.733        1531150093.0    师傅，麻烦来一打这样的刘海
380.025        1531149533.0    好看(｡･ω･｡)ﾉ♡
380.051        1531296860.0    想学这个妆
381.395        1531153475.0    好看
381.54         1531199244.0    实用
382.09         1531265400.0    哇好可爱啊
382.66         1531249337.0    小可爱！mua！
382.71         1531304796.0    悄咪咪什么鬼
383.115        1531184229.0    投了投了
383.146        1531182840.0    祖传大脸有救了
383.161        1531148504.0    太好看了吧！
383.601        1531147190.0    诶还没完吗我在看两眼
385.071        1531275045.0    没什么变化
385.379        1531232085.0    太可爱啦
386.207        1531194774.0    桥可爱
386.536        1531187816.0    好可爱啊啊啊
386.56         1531288942.0    我一个短发的为什么要看…
386.633        1531154449.0    我就是这样的
386.645        1531378903.0    同款脸型，但是怕剪不好
387.359        1531155441.0    突然想养长发了
387.427        1531305568.0    啊真好看啊
387.84         1531348711.0    不说了剪头发去了！
388.016        1531299768.0    我空有up的大脸，却没有up的大眼…哭泣
388.693        1531287182.0    我也要剪这个头发
388.839        1531272457.0    明白！点赞投币评论收藏一条龙服务！
390.47         1531309939.0    up好可爱啊
390.693        1531298760.0    哇哇哇这个wink!
390.822        1531221180.0    你不开口 什么都好说
391.186        1531308487.0    好可爱呀
391.187        1531200495.0    厉害厉害！
391.359        1531246935.0    要眼睛大
392.001        1531196195.0    被眼睛吸引的看不了其他地方
392.571        1531150038.0    求美瞳啊
392.859        1531335569.0    我想留长头发了，我要弄这个发型
393.375        1531233814.0    好卡哇伊
394.26         1531199259.0    棒
394.361        1531376675.0    这个刘海有教程嘛？
394.682        1531154456.0    可爱可爱的
394.875        1531191994.0    看的我好像去剪
395.05         1531148530.0    老阿姨望而生畏
395.083        1531300131.0    太可爱了
395.38         1531218172.0    太可爱了
395.452        1531374262.0    好可爱哇，想太阳啊
395.968        1531302197.0    宋茜是你吗宋茜
396.134        1531187618.0    j
396.486        1531277483.0    技术流~
397.21         1531157025.0    好看
397.299        1531244063.0    鼻子可以说好看了
398.781        1531199700.0    求唇妆教程
399.533        1531264125.0    投了！快夸我！
400.106        1531313574.0    快吐出来！那个是假的樱桃🍒
400.473        1531392350.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
401.108        1531307660.0    好可爱的小姐姐唉
401.2          1531157884.0    太可爱了吧！！！！！
402.067        1531187389.0    好看
402.35         1531248405.0    太可爱了吧
403.753        1531178683.0    好……好可爱
404.096        1531152583.0    对啊老阿姨怎么办，不敢这么可爱啊
404.406        1531178634.0    哇
408.101        1531307502.0    可爱
409.216        1531249451.0    0差评啊我的妈
409.573        1531313138.0    厉害
